# Packet Capture Log - Interface eth0
# Format: SEQ_NUM|FLOW_ID|PAYLOAD_HEX|FLAGS|TIMESTAMP
0|flow_A|48656c6c6f|SYN|1700000001
5|flow_A|2c20576f726c64|ACK|1700000002
0|flow_B|476f6f64|SYN|1700000003
12|flow_A|2120486f77|ACK|1700000004
17|flow_A|2061726520|ACK|1700000005
0|flow_C|53746172743a|SYN|1700000006
22|flow_A|796f753f|ACK|1700000007
4|flow_B|206d6f726e696e67|ACK|1700000008
6|flow_C|2064617461|ACK|1700000009
5|flow_A|2c20576f726c64|RETRANSMIT|1700000010
12|flow_B|2c2044617665|ACK|1700000011
10|flow_A|6c642120486f772061|RETRANSMIT|1700000012
16|flow_C|656e642e0a|ACK|1700000013
4|flow_B|204d6f726e696e67|RETRANSMIT|1700000014
26|flow_A|0a|FIN|1700000015
18|flow_B|210a|FIN|1700000016
21|flow_C||FIN|1700000017
