# WAL Segment Log - Database: analytics_prod
# Format: LSN|TXN_ID|OPERATION|KEY|VALUE|TIMESTAMP
# Generated by WAL writer v3.2.1
1|txn_001|BEGIN|||1700000100
2|txn_001|INSERT|user:1001|{"name":"alice","role":"admin","created":"2024-01-15"}|1700000101
3|txn_001|INSERT|user:1002|{"name":"bob","role":"viewer","created":"2024-01-15"}|1700000102
4|txn_001|INSERT|order:5001|{"user":"alice","amount":250,"status":"pending"}|1700000103
5|txn_001|INSERT|order:5002|{"user":"bob","amount":75,"status":"pending"}|1700000104
6|txn_001|COMMIT|||1700000105
7|txn_002|BEGIN|||1700000200
8|txn_002|INSERT|session:3001|{"user":"alice","ip":"10.0.0.1","ttl":3600}|1700000201
9|txn_002|INSERT|session:3002|{"user":"bob","ip":"10.0.0.2","ttl":3600}|1700000202
10|txn_002|UPDATE|user:1001|{"name":"alice","role":"admin","created":"2024-01-15","last_login":"2024-01-16"}|1700000203
11|txn_002|COMMIT|||1700000204
12|txn_003|BEGIN|||1700000300
13|txn_003|INSERT|cache:7001|{"key":"homepage","hits":0,"stale":false}|1700000301
14|txn_003|INSERT|cache:7002|{"key":"dashboard","hits":0,"stale":false}|1700000302
15|txn_003|UPDATE|order:5001|{"user":"alice","amount":250,"status":"shipped"}|1700000303
16|txn_003|DELETE|session:3001||1700000304
17|txn_003|ABORT|||1700000305
18|txn_004|BEGIN|||1700000350
19|txn_004|INSERT|metric:9001|{"type":"cpu","value":72.5,"host":"web-01"}|1700000351
20|txn_004|INSERT|metric:9002|{"type":"memory","value":85.2,"host":"web-01"}|1700000352
21|txn_004|UPDATE|user:1002|{"name":"bob","role":"editor","created":"2024-01-15"}|1700000353
22|txn_004|COMMIT|||1700000354
23|txn_005|BEGIN|||1700000400
24|txn_005|UPDATE|user:1001|{"name":"alice","role":"superadmin","created":"2024-01-15","last_login":"2024-01-17"}|1700000450
25|txn_005|INSERT|audit:2001|{"action":"role_change","target":"user:1001","by":"system"}|1700000451
26|txn_005|DELETE|order:5002||1700000452
27|txn_005|COMMIT|||1700000453
28|txn_006|BEGIN|||1700000500
29|txn_006|UPDATE|user:1001|{"name":"alice","role":"owner","created":"2024-01-15","last_login":"2024-01-18"}|1700000460
30|txn_006|INSERT|config:1001|{"feature_flags":{"dark_mode":true,"beta":false}}|1700000461
31|txn_006|UPDATE|metric:9001|{"type":"cpu","value":55.0,"host":"web-01","sampled_at":"2024-01-18"}|1700000462
32|txn_006|COMMIT|||1700000510
33|CHECKPOINT|range_start=1|range_end=32|compaction_epoch=1||1700000520
34|txn_007|BEGIN|||1700000600
35|txn_007|INSERT|session:3003|{"user":"charlie","ip":"10.0.0.3","ttl":7200}|1700000601
36|txn_007|INSERT|event:4001|{"type":"signup","user":"charlie"}|1700000602
37|txn_007|UPDATE|metric:9001|{"type":"cpu","value":45.1,"host":"web-01"}|1700000603
38|txn_007|DELETE|cache:7001||1700000604
39|txn_007|ABORT|||1700000605
40|txn_008|BEGIN|||1700000700
41|txn_008|INSERT|order:5003|{"user":"alice","amount":500,"status":"pending"}|1700000701
42|txn_008|UPDATE|user:1002|{"name":"bob","role":"admin","created":"2024-01-15","promoted":"2024-01-18"}|1700000702
43|txn_008|INSERT|notification:6001|{"to":"bob","msg":"You have been promoted"}|1700000703
44|txn_008|COMMIT|||1700000704
45|txn_009|BEGIN|||1700000800
46|txn_009|DELETE|session:3002||1700000801
47|txn_009|UPDATE|order:5003|{"user":"alice","amount":500,"status":"confirmed"}|1700000802
48|txn_009|INSERT|invoice:8001|{"order":"5003","total":500,"tax":45}|1700000803
49|txn_009|COMMIT|||1700000804
50|txn_010|BEGIN|||1700000900
51|txn_010|UPDATE|config:1001|{"feature_flags":{"dark_mode":true,"beta":true,"v2_ui":true}}|1700000901
52|txn_010|INSERT|deploy:1101|{"version":"2.1.0","timestamp":"2024-01-18T12:00:00Z"}|1700000902
53|txn_010|COMMIT|||1700000903
